model,accuracy_train,accuracy_validation,balanced_accuracy_train,balanced_accuracy_validation,f1_macro_train,f1_macro_validation,f1_weighted_validation,training_time_seconds,f1_macro_gap
Random Forest,0.9982275,0.98767,0.9988137176995711,0.9830440228219735,0.9987645733761422,0.9839271451423405,0.9876701803666234,50.56412094899861,0.014837428233801742
HistGradientBoosting,0.9659875,0.96503,0.9587680574000635,0.9549587176040346,0.9600005253357581,0.9566842516714783,0.9650319761354434,28.132476773003873,0.0033162736642797785
Logistic Regression,0.8152025,0.81313,0.803074945457923,0.8002755902839438,0.8196932743262229,0.8172698505806422,0.8134769921406111,166.1797615989999,0.0024234237455806884
