rank_test_score,mae_train_cv,mae_validation_cv,std_mae_validation_cv,mean_fit_time,params
1,0.27230277290539073,0.4708121197804725,0.0010599339205115835,91.05335251490276,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 25}"
2,0.34146000011188127,0.4928069383387108,0.005472850728910746,131.5335851510366,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 25}"
3,0.3406504535232022,0.5176006022599262,0.0023056497127416273,66.00071557362874,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 20}"
4,0.34381630695836307,0.5313136226394323,0.0015723977202327076,282.3123637040456,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 20}"
5,0.5237681429200074,0.6277190755293188,0.006663340625074447,64.7830712000529,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 0.7, 'max_depth': 20}"
5,0.5237681429200074,0.6277190755293188,0.00666334062507436,64.6074086825053,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 0.7, 'max_depth': 20}"
7,1.1992075477920492,1.2935291177720236,0.03148713473799176,23.87861903508504,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 25}"
8,1.7115299261067232,1.790625168094443,0.02779243060667872,19.69294834136963,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15}"
