model,mae_train,mae_validation,mae_gap,rmse_train,rmse_validation,rmse_gap,r2_train,r2_validation,r2_gap,training_time_seconds
Random Forest,0.17274968223721254,0.39909738241101944,0.2263477001738069,1.2332868515239626,2.86136715938693,1.6280803078629673,0.9995457891087727,0.9975509936779562,0.0019947954308164872,122.45051866599897
HistGradientBoosting,1.4727135223953,1.5084068318011095,0.03569330940580939,3.7627004747307553,4.038007194869068,0.2753067201383126,0.9957720617341277,0.9951227287857273,0.0006493329484004162,13.723691290997522
Ridge,6.746359525524216,6.70177843039639,-0.04458109512782649,11.54845131299037,11.438299357967356,-0.11015195502301367,0.9601730694786492,0.9608649722059261,-0.0006919027272769274,0.4712247210009082
